event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-05-31,2018,Violence against civilians,Attack,Police Forces of Russia (2000-),Civilians (Russia),Russia,Tyumen,"On 31 May 2018, the activist Yulia Batalova was violently detained by law enforcement forces as she presented herself to the police station for a case of embezzlement. She lost a teeth and had her wounds reported following her arrest. It is not clear what was the reason for her arrest.",0,2018-Q2
2018-06-03,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Novosibirsk,"On 03 June 2018, 100 persons protested against the construction of the Eastern and Southern highways in Novosibirsk. They claim that they were not consulted since the authorities did not conduct public hearings prior to the design of the project.",0,2018-Q2
2018-06-03,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Republic of North Ossetia-Alania,"On 03 June 2018, 200 persons protested in Vladikavkaz calling for the return of direct elections of the head of the Republic. The protest was prompted by cases of corruption and issues specific to farmers, nurses, environmental damages.",0,2018-Q2
2018-06-04,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Rostov,"Around 04 June 2018, activists of Open Russia gathered in Rostov-on-Don and marched with a poster in support of Oleg Sentsov.",0,2018-Q2
2018-06-04,2018,Strategic developments,Looting/property destruction,Government of Russia (2000-),Civilians (Russia),Russia,Krasnodar,"On 04 June 2018, the court ruled that a building belonging to the Jehovah's Witnesses organization in Sochi is to be seized and converted into state property of the Russian Federation.",0,2018-Q2
2018-06-05,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Krasnoyarsk,"On 05 June 2018, less than 30 people gathered in Krasnoyarsk to protest against the cancellation of several bus routes.",0,2018-Q2
2018-06-06,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Republic of Dagestan,"On 06 June 2018, about 70 residents of Makhachkala and Kaspiisk gathered in the centre of Makhachkala to protest against the order to demolish their buildings that the court ruled as built illegally. A building was already demolished on 05 June. The police forces pushed the protesters out of the central square to a nearby park and suggested the dispersion of the protest to avoid having the entire crowd enter the government building where resident were supposed to have a meeting with officials.",0,2018-Q2
2018-06-07,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Republic of Sakha,"On 07 June 2018, about 150 persons protested in a suburban area of Yakutsk against the abolition of compulsory Yakut language classes at schools.",0,2018-Q2
2018-06-08,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Krasnoyarsk,"On 08 June 2018, more than 12 persons gathered in Krasnoyarsk to protest against the closure of bus routes. This is a second protest related to the change in the transportation network that occur this week.",0,2018-Q2
2018-06-09,2018,Battles,Armed clash,Unidentified Armed Group (Russia),Unidentified Armed Group (Russia),Russia,Republic of North Ossetia-Alania,"On 09 June 2018, two brothers died following a shootout that occurred in Beslan. It is not clear who the parties involved in the conflict were. 2 fatalities",2,2018-Q2
2018-06-09,2018,Violence against civilians,Abduction/forced disappearance,Police Forces of Russia (2000-) Federal Security Service,Civilians (Russia),Russia,Volgograd,"On 09 June 2018, The wife of Leonid Makhinya, leader of the Volgograd branch of the party The Other Russia, reported the activist's disappearance. Supporters suspect that security forces abducted Leonid Makhinya in Volgograd for his activism.",0,2018-Q2
2018-06-10,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Novosibirsk,"On 10 June 2018, local residents gathered in Plotnikovo to protest against the building of a waste plant nearby which they consider will contaminate stream flow passing through the landfill site and occupy agricultural land.",0,2018-Q2
2018-06-12,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Kirov,"On 12 June 2018, the local branch of the Communist Party of the Russian Federation organised a picket on the Day of Russia in Kirov. Protesters were demonstrating against the rise of gasoline prices.",0,2018-Q2
